"followers","artist_10","track_id","artist_1","artist_popularity","artist_4","artist_id","track_number","artist_7","explicit","genre_2","album_id","artist_genres","genre_5","album_type","duration_ms","artist_6","artist_9","artists","artist_0","genre_4","artist_3","album_name","name","genre_1","artist_11","duration_sec","track_name","artist_5","artist_8","track_popularity","total_tracks","label","artist_2","genre_3","genre_6","release_date","album_popularity","genre_0"
"301","","5xBse5G3yBDdCiCKbw6Ci1","","4","","7EaaTl4FJ7bIAAW3jdzNIv","14","","false","","1qSS858EPX3oXH72oPcwVT","[]","","album","235920","","","","5th Boy","","","5Th Quarter","5th Boy","","","235.92","The Jetz Rippflamez","","","0","14","Raw Music Management","","","","2020-09-25 00:00:00 UTC","1",""
"117","","1zyBaGJEEixy5hSsaGGFsD","","0","","0ceNYzSeAMXGnuLXneG49h","9","","false","","2dLkCMPpWtieqtPzMUNx0t","[]","","album","192560","","","","Prince of Blue","","","Prince Of Blue","Prince of Blue","","","192.56","Black Tides","","","0","15","Prince of Blue","","","","2022-06-30 00:00:00 UTC","4",""
"79","","6Rzxnu8yWwk8jjsKHjxVmG","Ian Blake","6","","6jC1TbQkVD16NiBazw5kKO","3","","false","","0l3a1XlsWOKwiPPaSTRzsX","[]","","album","21000","","","","Mike Jackson","","","Toy Box Bop","Mike Jackson","","","21","An Old Toy","","","0","29","Australian Broadcasting Corporation","","","","1995-01-01 00:00:00 UTC","4",""
"9597639","","2MAZwbhIikhYFrDkQ6yWiq","","83","","4iHNK0tOyZPYnBU7nGAgpQ","17","","false","urban contemporary","0v1DRRYBXYg1uVN1CIsyy0","['dance pop', 'pop', 'urban contemporary']","","album","304440","","","","Mariah Carey","","","The Rarities","Mariah Carey","pop","","304.44","All I Want For Christmas Is You - Live At The Tokyo Dome","","","32","32","Columbia/Legacy","","","","2020-10-02 00:00:00 UTC","48","dance pop"
"18656","","0UAqpibXkggwQUFopRkK8Z","Zar the Supreme","29","","2YcJC1hnLjOIvNN3naeAlG","20","","false","","4npSDPvKBgqZOcLIxWO4Ji","['zambian hip hop', 'zambian pop']","","album","212157","","","","Jay Rox","","","Enigma","Jay Rox","zambian pop","","212.157","Deadly Gentleman","","","7","21","Headphone Music","","","","2022-01-08 00:00:00 UTC","26","zambian hip hop"
"5447095","","7zdoKz94Bse1ZM41eQPLFz","","71","","3b8QkneNDz4JHKKKlLgYZg","6","","false","country pop","0uqAyKT7oMZDFMyteJOJWI","['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']","","album","198106","","","","Florida Georgia Line","modern country rock","","Here'S To The Good Times...This Is How We Roll","Florida Georgia Line","country","","198.106","Stay","","","38","17","Big Machine Label Group","","country road","","2013-01-01 00:00:00 UTC","64","contemporary country"
"608638","","6iRppEgR1kYag2ZAXViIbP","Le Concert de la Loge","54","Adèle Charvet","656RXuyw7CE0dtjdPgjJV6","3","","false","","6bfaFsYD6mFqdM6M5mUaRk","['classical', 'classical era']","","album","344706","Andreas Wolf","","","Joseph Haydn","","Florie Valiquette","Haydn: Stabat Mater, Symphonies Parisiennes Nos. 84 & 86","Joseph Haydn","classical era","","344.706","Stabat Mater, Hob.Xx:Bis: Stabat Mater, Hob.Xx:Bis: X. Virgo Virginum Praeclara","Reinoud Van Mechelen","","1","22","Aparté","Julien Chauvin","","","2021-02-12 00:00:00 UTC","6","classical"
"1686","","1WzLZSvd3ZHifRlWoLWD1j","","25","","5aChaGbuNya16HNAqdgwfR","14","","false","","241guzPerNxjWcu0cAB6jV","['karaoke']","","album","296306","","","","SBI Audio Karaoke","","","Sbi Karaoke Superstars - Deep Purple, Black Sabbath & Whitesnake","SBI Audio Karaoke","","","296.306","Sweet Leaf (Karaoke Version)","","","0","19","2013 Digitop Ltd","","","","2013-11-06 00:00:00 UTC","2","karaoke"
"95859165","","3yk94DUDanXyVhRLVjmI3w","","100","","06HL4z0CvFAxyc27GXpf02","1","","false","","6WzAiEDGTU7KmEyGwLpBXB","['pop']","","single","214706","","","","Taylor Swift","","","Willow (The Witch Collection)","Taylor Swift","","","214.706","Willow","","","44","4","Taylor Swift","","","","2020-12-16 00:00:00 UTC","46","pop"
"59573","","78XehnZc7G8UtKdLkDhrqF","","53","","3mGCLimuzOdod4Lnegny4d","4","","false","","2OdvUn7zi6YraS19YW3ZmF","['sleep']","","album","223728","","","","Twinkle Twinkle Little Rock Star","","","Lullaby Versions Of Taylor Swift 1989","Twinkle Twinkle Little Rock Star","","","223.728","Out Of The Woods","","","16","13","Roma Music Group","","","","2015-10-09 00:00:00 UTC","26","sleep"
